0.010000 1231.145964
0.014208 1231.145985
0.020188 1231.146016
0.028683 1231.146059
0.040754 1231.146121
0.057904 1231.146208
0.082272 1231.146330
0.116895 1231.146504
0.166088 1231.146751
0.235983 1231.147100
0.335292 1231.147596
0.476394 1231.148299
0.676875 1231.149297
0.961725 1231.150715
1.366448 1231.152733
1.941492 1231.155608
2.758532 1231.159710
3.919407 1231.165574
5.568814 1231.173980
7.912343 1231.186060
11.242100 1231.203482
15.973123 1231.228709
22.695105 1231.265408
32.245905 1231.319093
45.815977 1231.398123
65.096752 1231.515300
92.491473 1231.690437
131.414736 1231.954517
186.718109 1232.356504
265.294846 1232.974537
376.939098 1233.934406
535.566692 1235.440012
760.949669 1237.823166
1081.180751 1241.623452
1536.174947 1247.711405
2182.644728 1257.464846
3101.168927 1272.987005
4406.236428 1297.296313
6260.516572 1334.300388
8895.134973 1388.137538
12638.482029 1460.962400
17957.144944 1548.335384
25514.065200 1635.962143
36251.170500 1703.304657
51506.780762 1734.239972
73182.422191 1734.691267
103979.841848 1730.176393
147737.765260 1735.046269
209910.372011 1743.650897
298247.128622 1749.399449
423758.716060 1751.656276
602089.449334 1752.666095
855467.253557 1753.993787
1215474.250076 1756.219548
1726983.290659 1759.979861
2453751.106640 1766.343546
3486365.227678 1777.108985
4953535.208959 1795.262634
7038135.554932 1825.662393
10000000.000000 1999.636237
